SampleName,FileName,Genotype,Treatment
BMW_121,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_121/abundance.tsv,BMW_2218,control
BMW_296,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_296/abundance.tsv,BMW_2218,control
BMW_135,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_135/abundance.tsv,BMW_2218,control
BMW_271,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_271/abundance.tsv,BMW_2218,control
BMW_275,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_275/abundance.tsv,BMW_2218,stress
BMW_281,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_281/abundance.tsv,BMW_2218,stress
BMW_206,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_206/abundance.tsv,BMW_2218,stress
BMW_123,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_123/abundance.tsv,BMW_2218,stress
BMW_180,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_180/abundance.tsv,BMW_2218,stress
BMW_236,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_236/abundance.tsv,BMW_2496,control
BMW_253,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_253/abundance.tsv,BMW_2496,control
BMW_256,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_256/abundance.tsv,BMW_2496,control
BMW_280,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_280/abundance.tsv,BMW_2496,control
BMW_241,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_241/abundance.tsv,BMW_2496,stress
BMW_238,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_238/abundance.tsv,BMW_2496,stress
BMW_175,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_175/abundance.tsv,BMW_2496,stress
BMW_170,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_170/abundance.tsv,BMW_2496,stress
BMW_306,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_306/abundance.tsv,BMW_2496,stress
BMW_258,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_258/abundance.tsv,BMW_2364,control
BMW_268,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_268/abundance.tsv,BMW_2364,control
BMW_305,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_305/abundance.tsv,BMW_2364,control
BMW_208,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_208/abundance.tsv,BMW_2364,control
BMW_160,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_160/abundance.tsv,BMW_2364,stress
BMW_260,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_260/abundance.tsv,BMW_2364,stress
BMW_276,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_276/abundance.tsv,BMW_2364,stress
BMW_285,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_285/abundance.tsv,BMW_2007,control
BMW_221,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_221/abundance.tsv,BMW_2007,control
BMW_230,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_230/abundance.tsv,BMW_2007,control
BMW_310,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_310/abundance.tsv,BMW_2007,control
BMW_243,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_243/abundance.tsv,BMW_2007,stress
