SampleName,FileName,Genotype,Treatment,CID
BMW_275,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_275/abundance.tsv,BMW_2218,stress,High
BMW_281,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_281/abundance.tsv,BMW_2218,stress,High
BMW_206,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_206/abundance.tsv,BMW_2218,stress,High
BMW_123,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_123/abundance.tsv,BMW_2218,stress,High
BMW_180,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_180/abundance.tsv,BMW_2218,stress,High
BMW_241,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_241/abundance.tsv,BMW_2496,stress,High
BMW_238,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_238/abundance.tsv,BMW_2496,stress,High
BMW_175,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_175/abundance.tsv,BMW_2496,stress,High
BMW_170,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_170/abundance.tsv,BMW_2496,stress,High
BMW_306,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_306/abundance.tsv,BMW_2496,stress,High
BMW_160,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_160/abundance.tsv,BMW_2364,stress,High
BMW_260,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_260/abundance.tsv,BMW_2364,stress,High
BMW_276,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_276/abundance.tsv,BMW_2364,stress,High
BMW_243,C:/Users/SepidehJafarian/Desktop/BMW-transcriptom-analysis/kallisto_mapping_v1.1/kallisto_bmw_results/BMW_243/abundance.tsv,BMW_2007,stress,High
