modules,control,stress
MElightpink2,-0.177736377,0.177736377
MEantiquewhite,-0.024476826,0.024476826
MEblue3,-0.029337146,0.029337146
MEbisque4,0.529098195,-0.529098195
MEmediumorchid4,0.372486767,-0.372486767
MEskyblue,0.343428072,-0.343428072
MEaliceblue,0.312069753,-0.312069753
MEmagenta3,-0.000260371,0.000260371
MEmagenta4,-0.007474055,0.007474055
MEplum2,0.016286545,-0.016286545
MEblue2,-0.226248105,0.226248105
MEhoneydew1,-0.016066513,0.016066513
MEmediumpurple1,-0.022737731,0.022737731
MElightsteelblue,-0.604856892,0.604856892
MEsienna3,-0.256142507,0.256142507
MEdarkolivegreen,-0.448394893,0.448394893
MElightskyblue3,-0.618427716,0.618427716
MEdarkred,-0.870187813,0.870187813
MEfirebrick4,-0.637183839,0.637183839
MElavenderblush3,0.290566541,-0.290566541
MEwheat3,-0.334245264,0.334245264
MEdarkmagenta,0.023456796,-0.023456796
MElightpink4,-0.206997162,0.206997162
MEnavajowhite4,0.005101606,-0.005101606
MEcoral4,-0.013930704,0.013930704
MEdarkseagreen,0.062434202,-0.062434202
MEcornsilk,0.060403131,-0.060403131
MEantiquewhite2,-0.055892127,0.055892127
MEindianred1,0.009977422,-0.009977422
MEcornflowerblue,-0.005935932,0.005935932
MEorangered4,0.000287721,-0.000287721
MEdeeppink,0.00315034,-0.00315034
MEmaroon,-0.260197407,0.260197407
MEdarkorange2,0.371246358,-0.371246358
MEcyan,-0.025347384,0.025347384
MEblue1,0.09454124,-0.09454124
MEplum4,-0.03466955,0.03466955
MEgrey60,0.249843344,-0.249843344
MEplum3,0.303884374,-0.303884374
MEivory,0.122496154,-0.122496154
MEsalmon,0.029542294,-0.029542294
MEdarkslateblue,0.3103254,-0.3103254
MElightblue3,0.506190472,-0.506190472
MEantiquewhite4,0.833671623,-0.833671623
MEorange,0.578725121,-0.578725121
MEgreen4,-0.005334419,0.005334419
MEdarkviolet,-0.016087345,0.016087345
MEtan,0.016351741,-0.016351741
MEbrown,-0.073985168,0.073985168
MEmediumpurple,-0.390952271,0.390952271
MEnavajowhite3,-0.304916824,0.304916824
MEroyalblue,-0.195250191,0.195250191
MEchocolate2,0.147974963,-0.147974963
MEorangered1,0.062842265,-0.062842265
MEorangered3,0.028665686,-0.028665686
MEbrown3,0.037668568,-0.037668568
MEantiquewhite1,-0.00950927,0.00950927
MEpaleturquoise,0.019921711,-0.019921711
MEgreen3,0.324067179,-0.324067179
MEtan2,0.426830485,-0.426830485
MElightblue4,-0.038150121,0.038150121
MEroyalblue3,0.033809903,-0.033809903
MEdarkolivegreen2,0.009702918,-0.009702918
MEpink4,-0.067143593,0.067143593
MEmagenta1,0.002389582,-0.002389582
MEcoral3,0.001750507,-0.001750507
MEfirebrick2,-0.013379054,0.013379054
MEgreen2,-0.002153749,0.002153749
MEpaleturquoise4,-0.013860488,0.013860488
MEmistyrose,0.069185436,-0.069185436
MEsalmon2,-0.026769826,0.026769826
MElightcyan1,0.315612651,-0.315612651
MEpink3,-0.026715302,0.026715302
MElightsteelblue1,-0.103291373,0.103291373
MEpalevioletred1,-0.055459911,0.055459911
MEgrey,0.117346377,-0.117346377
