modules,High_control_BMW_2007,High_control_BMW_2218,High_control_BMW_2364,High_control_BMW_2496,High_stress_BMW_2007,High_stress_BMW_2218,High_stress_BMW_2364,High_stress_BMW_2496,Low_control_BMW_2095,Low_control_BMW_2297,Low_control_BMW_2321,Low_control_BMW_2352,Low_stress_BMW_2095,Low_stress_BMW_2297,Low_stress_BMW_2321,Low_stress_BMW_2352
MElightpink2,-0.060138907,-0.095384454,-0.065375143,-0.065896934,-0.109767219,-0.102210434,-0.110650041,-0.114710242,-0.079939713,-0.109389845,-0.084988308,0.193982622,-0.045891482,-0.02325046,-0.08759185,0.96120241
MEantiquewhite,-0.188533833,0.233800925,-0.311835713,-0.242093196,-0.308262754,0.22987789,-0.267648636,-0.247514107,-0.254944984,0.227595047,0.237509171,0.247943469,-0.22732202,0.275445971,0.30052424,0.295458531
MEblue3,-0.225447441,0.043814296,-0.202360656,-0.106551638,-0.20314731,0.066652948,-0.199896642,-0.128227754,-0.191492744,0.391327428,-0.209645025,0.439757233,-0.156608149,0.417832619,-0.18296744,0.446960276
MEbisque4,0.267110094,0.455239661,-0.354328683,-0.303583292,-0.066838052,-0.227303456,-0.135848355,-0.314308827,0.251654672,0.190235923,0.344255855,0.242316302,-0.147830566,-0.182975697,0.171023993,-0.188819572
MEmediumorchid4,-0.109915081,0.682357271,-0.11735435,-0.074380406,-0.176245292,-0.101247364,-0.069730459,-0.066529297,-0.13512668,-0.06866893,-0.078518497,0.67101203,-0.130425146,-0.017713859,-0.123944036,-0.083569907
MEskyblue,0.049790467,-0.098065085,-0.077206167,-0.040343543,-0.085612643,-0.095079761,-0.079613929,-0.13289209,-0.027653884,-0.050265934,-0.035331741,0.988457863,-0.075955227,-0.083311487,-0.079858894,-0.077057945
MEaliceblue,-0.080181504,-0.082825056,-0.062814661,0.088414864,-0.086742666,-0.099269793,-0.082500633,-0.104743665,-0.031794926,0.985648554,-0.073764814,-0.098073947,-0.064599677,-0.058479283,-0.061903834,-0.086368958
MEmagenta3,0.173021957,-0.323144068,0.215313421,-0.319238752,0.233999944,-0.372464478,0.232544966,-0.300829252,0.17932219,0.213987963,0.189781214,-0.329581745,0.086345546,0.207311398,0.247694336,-0.334064641
MEmagenta4,0.397481085,-0.197650919,-0.192842289,-0.179187102,0.441506751,-0.235888651,-0.180924126,-0.199589449,-0.187358459,0.136574752,0.356225992,-0.148681401,-0.215861163,0.11012567,0.441173746,-0.145104436
MEplum2,0.238295625,0.018451426,-0.331805373,-0.362418517,0.238861513,-0.031624396,-0.252957673,-0.361159722,0.246405286,0.220793527,0.258311211,-0.254391843,0.208683175,0.1623266,0.321125713,-0.318896552
MEblue2,-0.132305766,-0.068400583,-0.032394857,-0.033046545,0.993185959,-0.09291053,-0.111745792,-0.095718977,-0.064324188,-0.05769916,-0.048693655,-0.030471323,-0.030392635,-0.060561652,-0.042399519,-0.092120776
MEhoneydew1,0.335377053,-0.207549289,-0.221341834,-0.203363213,0.348806264,-0.231234188,-0.21077706,-0.197556451,-0.217422047,0.321471969,-0.158944622,0.318585136,-0.206928155,0.324421156,-0.136997373,0.343452653
