modules,High,Low
MElightpink2,-0.350569562,0.350569562
MEantiquewhite,-0.533604843,0.533604843
MEblue3,-0.462416878,0.462416878
MEbisque4,-0.329136248,0.329136248
MEmediumorchid4,-0.015997831,0.015997831
MEskyblue,-0.270635726,0.270635726
MEaliceblue,-0.247223717,0.247223717
MEmagenta3,-0.223082031,0.223082031
MEmagenta4,-0.1680365,0.1680365
MEplum2,-0.408772632,0.408772632
MEblue2,0.206557292,-0.206557292
MEhoneydew1,-0.28448937,0.28448937
MEmediumpurple1,0.104893057,-0.104893057
MElightsteelblue,0.116160284,-0.116160284
MEsienna3,-0.281010342,0.281010342
MEdarkolivegreen,-0.414857954,0.414857954
MElightskyblue3,-0.259784858,0.259784858
MEdarkred,-0.269295769,0.269295769
MEfirebrick4,-0.017192689,0.017192689
MElavenderblush3,-0.284966559,0.284966559
MEwheat3,-0.378802888,0.378802888
MEdarkmagenta,-0.387372346,0.387372346
MElightpink4,-0.274450184,0.274450184
MEnavajowhite4,-0.356742489,0.356742489
MEcoral4,-0.447143701,0.447143701
MEdarkseagreen,-0.376707957,0.376707957
MEcornsilk,0.423971078,-0.423971078
MEantiquewhite2,0.090852602,-0.090852602
MEindianred1,0.320177523,-0.320177523
MEcornflowerblue,0.18806748,-0.18806748
MEorangered4,0.612157249,-0.612157249
MEdeeppink,0.290820585,-0.290820585
MEmaroon,0.156263376,-0.156263376
MEdarkorange2,0.185812732,-0.185812732
MEcyan,-0.01944694,0.01944694
MEblue1,0.464623577,-0.464623577
MEplum4,0.207724512,-0.207724512
MEgrey60,0.206761569,-0.206761569
MEplum3,-0.032029109,0.032029109
MEivory,0.450159405,-0.450159405
MEsalmon,0.393961042,-0.393961042
MEdarkslateblue,0.20707027,-0.20707027
MElightblue3,0.341159746,-0.341159746
MEantiquewhite4,0.273823896,-0.273823896
MEorange,0.314971626,-0.314971626
MEgreen4,0.507420834,-0.507420834
MEdarkviolet,0.659963885,-0.659963885
MEtan,0.997009954,-0.997009954
MEbrown,0.304980484,-0.304980484
MEmediumpurple,0.360765741,-0.360765741
MEnavajowhite3,0.001205219,-0.001205219
MEroyalblue,0.210475927,-0.210475927
MEchocolate2,0.576545808,-0.576545808
MEorangered1,0.244162406,-0.244162406
MEorangered3,0.343211849,-0.343211849
MEbrown3,0.342401124,-0.342401124
MEantiquewhite1,0.478940688,-0.478940688
MEpaleturquoise,0.372739094,-0.372739094
MEgreen3,0.191892819,-0.191892819
MEtan2,-0.02061556,0.02061556
MElightblue4,0.059800585,-0.059800585
MEroyalblue3,-0.421894782,0.421894782
MEdarkolivegreen2,-0.167524675,0.167524675
MEpink4,-0.00038955,0.00038955
MEmagenta1,-0.050813405,0.050813405
MEcoral3,0.252058778,-0.252058778
MEfirebrick2,0.158878423,-0.158878423
MEgreen2,0.185511543,-0.185511543
MEpaleturquoise4,0.484566069,-0.484566069
MEmistyrose,0.381248705,-0.381248705
MEsalmon2,0.034992592,-0.034992592
MElightcyan1,-0.288233759,0.288233759
MEpink3,0.046282894,-0.046282894
MElightsteelblue1,-0.379367612,0.379367612
MEpalevioletred1,0.088665832,-0.088665832
MEgrey,-0.207625274,0.207625274
