modules,Biomass,Nr_shoots,Shoots_with_ear,Shoots_without_ear,Nr_ears,Full_ear,Half_ear,Weight_ear,Nr_seeds,Mature_seeds,Poor_seeds,all.seeds.weight,TKW,Digital.Biomass,Height,M.Height,leaf_angle,LA,LAI,LAP,LIc,LPD,d13C,Carbon.discrimination,iWUE
MElightpink2,-0.190986987,-0.338137737,-0.26817834,-0.239205375,-0.296896301,-0.250442041,-0.171278968,-0.223077582,-0.203520508,-0.200588502,-0.109950584,-0.244329749,-0.295753638,-0.141462792,-0.128855856,-0.180880927,0.114728856,-0.111088056,-0.11080856,-0.093470463,-0.090454566,-0.148160119,0.106998047,-0.107323489,0.107323489
MEantiquewhite,-0.049755371,-0.013376574,-0.03571805,0.085732118,-0.074874906,-0.089128973,0.068568838,-0.02226952,-0.021291472,-0.004122497,-0.299243252,-0.077452596,-0.251595289,0.032606409,0.049571657,0.02478219,-0.158701876,0.056783473,0.056996635,0.105838332,0.123028153,-0.079337445,0.004821139,-0.004978403,0.004978403
MEblue3,0.044479475,0.048628848,0.026542962,-0.132005337,-0.013359457,-0.049356178,0.073425941,-0.043971724,-0.034105407,-0.025242496,-0.095370396,-0.162499126,-0.411692736,0.070271639,-0.056475924,-0.088822607,0.077069489,0.144626091,0.144968422,0.19176329,-0.086299654,-0.218857147,-0.003824897,0.00384792,-0.00384792
MEbisque4,0.296078093,0.469661683,0.461960666,-0.335123811,0.451759026,0.475646839,-0.416354157,0.525235154,0.529225931,0.553808692,-0.43474324,0.52345616,0.040768223,0.336584933,0.356820805,0.331292439,-0.444596155,0.313720462,0.31359481,0.327790806,0.402681647,0.240774573,-0.537924867,0.537784286,-0.537784286
MEmediumorchid4,0.499982733,0.364021201,0.298591832,-0.207549712,0.268785468,0.28182992,-0.226736962,0.322554828,0.261810824,0.272536222,-0.154367418,0.320440624,0.151501254,0.552712498,0.573259871,0.570364958,-0.301207886,0.488931245,0.488945338,0.454224537,0.30725191,0.418088924,-0.300264589,0.30000256,-0.300002561
MEskyblue,0.35356867,0.257617523,0.210170447,-0.240501549,0.161173885,0.17997094,-0.189838418,0.211704331,0.231910538,0.239981768,-0.110019864,0.185194787,-0.0747538,0.39028929,0.379273872,0.353981774,-0.471327187,0.36073538,0.360820892,0.262845556,0.498761632,0.224569332,-0.330680498,0.330605138,-0.330605138
MEaliceblue,0.307837914,0.519715925,0.452852544,-0.211668939,0.464060604,0.456807946,-0.177552317,0.391079068,0.397746068,0.400598915,0.151188838,0.229263937,-0.192721783,0.238093205,-0.045779374,-0.030937187,0.102169267,0.349840425,0.350087463,0.450620698,-0.147977662,-0.128292248,-0.385506904,0.385837091,-0.385837091
MEmagenta3,-0.12316404,-0.007084243,0.061837529,-0.050106063,0.102383035,0.075349708,-0.066576613,0.072603222,0.090829628,0.080923411,0.171463949,0.0346867,-0.054348776,-0.287286,-0.352760068,-0.339636184,-0.225909547,-0.246684651,-0.246714363,-0.247787381,0.20136851,-0.317517871,-0.098414873,0.098406484,-0.098406484
MEmagenta4,-0.220596238,-0.027285877,0.030291852,-0.067350258,0.020912263,-0.004261659,-0.054248733,0.002233306,-0.040428967,-0.029421107,-0.204553883,-0.011275498,-0.102317482,-0.15625045,-0.018955116,-0.060414457,-0.112952989,-0.165823484,-0.165980561,-0.16225987,0.133398157,0.037373149,0.005281093,-0.005411333,0.005411334
MEplum2,-0.29661322,0.059559632,0.11277518,-0.136450043,0.104166992,0.046519665,0.120430337,0.083961686,0.103337941,0.122250797,-0.376931819,0.07765285,-0.021903385,-0.309781525,-0.352347799,-0.382311487,-0.113730758,-0.278406095,-0.278468863,-0.232240521,0.072764611,-0.387265684,-0.06706056,0.067126817,-0.067126817
