modules,High_control_BMW_2007,High_control_BMW_2218,High_control_BMW_2364,High_control_BMW_2496,High_stress_BMW_2007,High_stress_BMW_2218,High_stress_BMW_2364,High_stress_BMW_2496,Low_control_BMW_2095,Low_control_BMW_2297,Low_control_BMW_2321,Low_control_BMW_2352,Low_stress_BMW_2095,Low_stress_BMW_2297,Low_stress_BMW_2321,Low_stress_BMW_2352
MElightpink2,0.161368041,0.026057675,0.127819035,0.124796612,0.010363786,0.017047344,0.00975951,0.007364678,0.062416388,0.010632057,0.047528756,4.88E-06,0.285448826,0.588583821,0.041095128,0
MEantiquewhite,9.07E-06,3.02E-08,6.24E-14,9.19E-09,1.25E-13,5.21E-08,1.76E-10,4.12E-09,1.33E-09,7.12E-08,1.78E-08,3.87E-09,7.39E-08,4.82E-11,5.49E-13,1.41E-12
MEblue3,9.53E-08,0.307848278,1.82E-06,0.012854636,1.65E-06,0.120516342,2.44E-06,0.002708574,6.49E-06,6.93E-22,7.44E-07,4.94E-28,0.000239871,4.10E-25,1.68E-05,4.81E-29
MEbisque4,1.92E-10,3.06E-30,7.00E-18,3.08E-13,0.119486001,7.41E-08,0.001475763,3.83E-14,2.21E-09,7.49E-06,6.94E-17,8.90E-09,0.000532538,1.67E-05,5.88E-05,8.78E-06
MEmediumorchid4,0.010260321,9.94E-84,0.0061024,0.083052097,3.43E-05,0.018125206,0.104263699,0.121208469,0.001565239,0.109661561,0.06724086,1.14E-79,0.002280878,0.680297687,0.003758325,0.051375418
MEskyblue,0.246433705,0.022120643,0.07196325,0.347794168,0.045913692,0.026541246,0.063496316,0.001874789,0.519979523,0.241943836,0.410998621,0,0.076713356,0.052103485,0.06268287,0.072513232
MEaliceblue,0.061624709,0.053497269,0.143478899,0.039220955,0.043107572,0.020526284,0.054443985,0.014475407,0.459433214,0,0.08564207,0.022108535,0.132415236,0.17327769,0.149389877,0.044019155
MEmagenta3,4.80E-05,6.42E-15,3.62E-07,1.42E-14,2.93E-08,8.95E-20,3.60E-08,5.18E-13,2.48E-05,4.30E-07,7.88E-06,1.68E-15,0.044076798,9.94E-07,4.01E-09,6.46E-16
MEmagenta4,1.32E-22,3.18E-06,5.57E-06,2.52E-05,2.82E-28,2.25E-08,2.09E-05,2.53E-06,1.03E-05,0.001390467,4.50E-18,0.000493855,3.38E-07,0.010114544,3.14E-28,0.000676242
MEplum2,1.59E-08,0.667764626,1.05E-15,1.04E-18,1.47E-08,0.461846305,1.81E-09,1.40E-18,4.87E-09,1.77E-07,7.88E-10,1.45E-09,8.38E-07,0.000139351,9.70E-15,1.53E-14
MEblue2,0.001964809,0.111060369,0.451000016,0.441939007,0,0.030212405,0.009053132,0.025535517,0.134078424,0.179097013,0.257011921,0.478346582,0.479484175,0.158435166,0.323750864,0.031652895
MEhoneydew1,4.87E-16,9.65E-07,1.65E-07,1.61E-06,2.49E-17,4.32E-08,6.45E-07,3.22E-06,2.76E-07,9.04E-15,0.000192569,1.63E-14,1.04E-06,4.93E-15,0.001342949,8.30E-17
MEmediumpurple1,5.80E-22,7.43E-05,0.330758882,7.57E-06,9.54E-33,2.26E-06,0.852831786,0.001287312,7.86E-05,1.44E-23,2.82E-05,2.05E-05,4.67E-06,5.37E-30,0.000448097,1.46E-06
MElightsteelblue,0.000258857,0.225892022,0.000114021,0.000411345,0.993483121,0.944541471,0.001281972,4.79E-66,8.52E-10,0.033627764,2.63E-07,0.00017822,0.000575867,7.28E-69,0.587605524,0.654704679
MEsienna3,0.03209274,0.202661815,0.245653181,0.023658927,0.089765139,0.033918903,0.122541235,0.184768945,0.076274451,0.167403696,0.229359931,0.257451314,0.270166673,0,0.176944419,0.073840909
MEdarkolivegreen,6.91E-07,0.000548382,0.096063006,3.24E-22,0.095454001,1.90E-07,0.574351178,0.001111293,0.594970073,8.67E-10,0.118470614,1.77E-23,0.937752118,1.55E-31,7.76E-49,0.163494278
MElightskyblue3,9.67E-19,0.131659569,0.003022184,3.89E-16,0.007332477,0.00362118,0.061114167,1.45E-12,0.247555683,0.073934624,0.00031272,1.40E-45,2.50E-22,6.58E-09,4.65E-19,0.268284076
MEdarkred,0.000450879,4.01E-11,3.64E-11,3.34E-15,0.000791121,5.72E-20,0.25865568,0.919584756,4.68E-05,1.47E-08,0.000130614,5.63E-06,6.18E-19,1.77E-14,3.77E-06,8.77E-29
