modules,High,Low
MElightpink2,1.66E-17,1.66E-17
MEantiquewhite,1.40E-43,1.40E-43
MEblue3,2.62E-31,2.62E-31
MEbisque4,1.84E-15,1.84E-15
MEmediumorchid4,0.709794724,0.709794724
MEskyblue,1.08E-10,1.08E-10
MEaliceblue,4.31E-09,4.31E-09
MEmagenta3,1.31E-07,1.31E-07
MEmagenta4,7.95E-05,7.95E-05
MEplum2,5.65E-24,5.65E-24
MEblue2,1.09E-06,1.09E-06
MEhoneydew1,1.01E-11,1.01E-11
MEmediumpurple1,0.014334987,0.014334987
MElightsteelblue,0.006646198,0.006646198
MEsienna3,1.86E-11,1.86E-11
MEdarkolivegreen,9.80E-25,9.80E-25
MElightskyblue3,6.24E-10,6.24E-10
MEdarkred,1.34E-10,1.34E-10
MEfirebrick4,0.689207225,0.689207225
MElavenderblush3,9.31E-12,9.31E-12
MEwheat3,1.82E-20,1.82E-20
MEdarkmagenta,1.98E-21,1.98E-21
MElightpink4,5.70E-11,5.70E-11
MEnavajowhite4,3.99E-18,3.99E-18
MEcoral4,4.53E-29,4.53E-29
MEdarkseagreen,3.09E-20,3.09E-20
MEcornsilk,6.60E-26,6.60E-26
MEantiquewhite2,0.03408871,0.03408871
MEindianred1,1.18E-14,1.18E-14
MEcornflowerblue,9.55E-06,9.55E-06
MEorangered4,1.16E-61,1.16E-61
MEdeeppink,3.28E-12,3.28E-12
MEmaroon,0.000247708,0.000247708
MEdarkorange2,1.23E-05,1.23E-05
MEcyan,0.650994303,0.650994303
MEblue1,1.22E-31,1.22E-31
MEplum4,9.44E-07,9.44E-07
MEgrey60,1.06E-06,1.06E-06
MEplum3,0.45613089,0.45613089
MEivory,1.68E-29,1.68E-29
MEsalmon,3.42E-22,3.42E-22
MEdarkslateblue,1.02E-06,1.02E-06
MElightblue3,1.38E-16,1.38E-16
MEantiquewhite4,6.33E-11,6.33E-11
MEorange,3.35E-14,3.35E-14
MEgreen4,1.10E-38,1.10E-38
MEdarkviolet,6.40E-76,6.40E-76
MEtan,0,0
MEbrown,2.36E-13,2.36E-13
MEmediumpurple,1.54E-18,1.54E-18
MEnavajowhite3,0.977636081,0.977636081
MEroyalblue,6.70E-07,6.70E-07
MEchocolate2,9.22E-53,9.22E-53
MEorangered1,6.79E-09,6.79E-09
MEorangered3,8.76E-17,8.76E-17
MEbrown3,1.05E-16,1.05E-16
MEantiquewhite1,7.12E-34,7.12E-34
MEpaleturquoise,8.36E-20,8.36E-20
MEgreen3,6.20E-06,6.20E-06
MEtan2,0.631530596,0.631530596
MElightblue4,0.163744495,0.163744495
MEroyalblue3,1.23E-25,1.23E-25
MEdarkolivegreen2,8.37E-05,8.37E-05
MEpink4,0.992770701,0.992770701
MEmagenta1,0.23684543,0.23684543
MEcoral3,2.07E-09,2.07E-09
MEfirebrick2,0.000193779,0.000193779
MEgreen2,1.27E-05,1.27E-05
MEpaleturquoise4,8.76E-35,8.76E-35
MEmistyrose,9.71E-21,9.71E-21
MEsalmon2,0.415507826,0.415507826
MElightcyan1,5.21E-12,5.21E-12
MEpink3,0.281354158,0.281354158
MElightsteelblue1,1.57E-20,1.57E-20
MEpalevioletred1,0.038664039,0.038664039
MEgrey,9.56E-07,9.56E-07
