modules,Biomass,Nr_shoots,Shoots_with_ear,Shoots_without_ear,Nr_ears,Full_ear,Half_ear,Weight_ear,Nr_seeds,Mature_seeds,Poor_seeds,all.seeds.weight,TKW,Digital.Biomass,Height,M.Height,leaf_angle,LA,LAI,LAP,LIc,LPD,d13C,Carbon.discrimination,iWUE
MElightpink2,6.88E-06,2.68E-16,1.62E-10,1.40E-08,1.08E-12,2.65E-09,5.73E-05,1.31E-07,1.58E-06,2.25E-06,0.010235615,6.62E-09,1.33E-12,0.000924475,0.002579418,2.10E-05,0.007355031,0.009471474,0.009654383,0.02922543,0.034885412,0.000517232,0.012479959,0.012212918,0.012212918
MEantiquewhite,0.246767411,0.755686788,0.405897812,0.04560994,0.081017705,0.037653869,0.110181675,0.604415379,0.620387062,0.923610023,6.98E-13,0.071056407,2.23E-09,0.448047186,0.248519365,0.564252211,0.000197042,0.186110829,0.184460292,0.013473921,0.004025815,0.064424842,0.910714216,0.907814492,0.907814491
MEblue3,0.300552505,0.257646626,0.536892723,0.00201245,0.755989511,0.250585276,0.087095329,0.306111124,0.427440381,0.557035664,0.026079817,0.000137046,2.45E-24,0.101593903,0.188511332,0.038319553,0.072470275,0.00070489,0.000684276,6.30E-06,0.044189978,2.29E-07,0.929109511,0.928683944,0.928683941
MEbisque4,1.26E-12,2.06E-32,3.07E-31,5.15E-16,9.85E-30,2.38E-33,6.33E-25,5.80E-42,9.96E-43,1.04E-47,2.41E-27,1.26E-41,0.342737327,3.75E-16,3.91E-18,1.17E-15,1.04E-28,4.30E-14,4.41E-14,2.45E-15,3.14E-23,1.11E-08,1.94E-44,2.07E-44,2.07E-44
MEmediumorchid4,2.23E-37,7.07E-19,7.88E-13,9.65E-07,1.46E-10,1.61E-11,8.00E-08,7.24E-15,4.53E-10,7.85E-11,0.000295254,1.12E-14,0.000383527,1.77E-47,5.29E-52,2.42E-51,4.83E-13,1.67E-35,1.66E-35,4.31E-30,1.52E-13,3.80E-25,5.76E-13,6.05E-13,6.05E-13
MEskyblue,8.35E-18,8.78E-10,6.96E-07,1.16E-08,0.000155708,2.32E-05,7.83E-06,5.74E-07,3.93E-08,1.25E-08,0.010187555,1.31E-05,0.081512172,9.14E-22,1.61E-20,7.58E-18,1.13E-32,1.55E-18,1.52E-18,3.84E-10,3.63E-37,1.07E-07,1.33E-15,1.35E-15,1.35E-15
MEaliceblue,1.36E-13,6.36E-41,6.83E-30,5.77E-07,1.48E-31,1.80E-30,2.99E-05,7.41E-22,1.22E-22,5.59E-23,0.000394509,5.67E-08,5.64E-06,1.64E-08,0.286628976,0.471641795,0.017092244,1.97E-17,1.86E-17,1.44E-29,0.000525655,0.002695046,3.22E-21,2.96E-21,2.96E-21
MEmagenta3,0.00398507,0.869118686,0.149827301,0.24344706,0.016860208,0.079102468,0.120943255,0.090706148,0.03413427,0.059247079,5.63E-05,0.419599738,0.205739744,6.17E-12,1.01E-17,1.93E-16,8.95E-08,4.67E-09,4.65E-09,3.96E-09,2.05E-06,2.02E-14,0.02164702,0.021658275,0.021658276
MEmagenta4,1.82E-07,0.525551761,0.480943335,0.116670744,0.626628466,0.921039604,0.206577205,0.958572156,0.346773208,0.493649986,1.39E-06,0.793111362,0.016931068,0.000248006,0.659258203,0.159451764,0.00832789,9.91E-05,9.75E-05,0.000140252,0.001800144,0.384474028,0.902236778,0.899838287,0.899838284
MEplum2,1.14E-12,0.165452959,0.00843135,0.001404781,0.015028844,0.278896608,0.00488077,0.050287826,0.015857008,0.004266229,2.92E-20,0.070326377,0.6103729,9.33E-14,1.11E-17,7.39E-21,0.007888512,2.91E-11,2.88E-11,3.75E-08,0.089988529,2.03E-21,0.11825658,0.117892402,0.117892404
MEblue2,1.34E-07,0.000639642,0.05498474,7.97E-07,0.027790782,0.000199258,6.36E-14,1.44E-06,1.07E-09,1.13E-09,0.146160127,7.79E-07,0.383574377,6.30E-09,0.000319511,0.000160808,5.16E-21,1.11E-08,1.13E-08,1.27E-07,5.76E-13,0.195254146,1.34E-10,1.39E-10,1.39E-10
