"","ID","module_label","module_color"
"1","TraesCS1A02G000100","ME15","orange"
"2","TraesCS1A02G000200","ME133","orange"
"3","TraesCS1A02G000300","ME177","mediumorchid4"
"4","TraesCS1A02G000400","ME47","orange"
"5","TraesCS1A02G000500","ME28","orange"
"6","TraesCS1A02G000600","ME156","orange"
"7","TraesCS1A02G000700","ME51","orange"
"8","TraesCS1A02G000800","ME113","orange"
"9","TraesCS1A02G000900","ME49","darkred"
"10","TraesCS1A02G001000","ME69","brown"
"11","TraesCS1A02G001100","ME76","brown"
"12","TraesCS1A02G001200","ME58","orange"
"13","TraesCS1A02G001300","ME64","orange"
"14","TraesCS1A02G001400","ME35","orange"
"15","TraesCS1A02G001500","ME70","orange"
"16","TraesCS1A02G001600","ME29","orange"
"17","TraesCS1A02G001700","ME157","orange"
"18","TraesCS1A02G001800","ME21","antiquewhite4"
"19","TraesCS1A02G001900","ME73","orange"
"20","TraesCS1A02G002000","ME57","antiquewhite1"
"21","TraesCS1A02G002100","ME181","salmon2"
"22","TraesCS1A02G002200","ME34","brown"
"23","TraesCS1A02G002300","ME56","deeppink"
"24","TraesCS1A02G002400","ME179","deeppink"
"25","TraesCS1A02G002500","ME5","brown"
"26","TraesCS1A02G002700","ME120","antiquewhite4"
"27","TraesCS1A02G002900","ME178","darkmagenta"
"28","TraesCS1A02G003000","ME90","paleturquoise4"
"29","TraesCS1A02G003900","ME101","darkorange2"
"30","TraesCS1A02G004000","ME39","brown"
"31","TraesCS1A02G004100","ME149","brown"
"32","TraesCS1A02G004200","ME53","brown"
"33","TraesCS1A02G004400","ME55","brown"
"34","TraesCS1A02G004900","ME45","brown"
"35","TraesCS1A02G005000","ME14","brown"
"36","TraesCS1A02G005100","ME107","brown"
"37","TraesCS1A02G005200","ME162","brown"
"38","TraesCS1A02G005300","ME17","coral3"
"39","TraesCS1A02G005400","ME78","antiquewhite4"
"40","TraesCS1A02G005500","ME13","mediumpurple"
"41","TraesCS1A02G005600","ME43","brown"
"42","TraesCS1A02G005700","ME48","firebrick4"
"43","TraesCS1A02G005800","ME129","darkseagreen"
"44","TraesCS1A02G005900","ME25","coral4"
"45","TraesCS1A02G006000","ME37","brown"
