"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND","Set"
"TraesCS1A02G049100",0.762843446048588,2.12023362037371,0.62235183753821,3.40680864502716,0.00065727190035596,0.00488037047502107,"chr1A",NA,30772078,30773028,"-","stress_up"
"TraesCS1A02G067472",3.15907760729118,1.1460822982033,0.41027464826847,2.79345141855645,0.00521488615184769,0.026446459769121,"chr1A",NA,49302325,49303620,"+","stress_up"
"TraesCS1A02G072100",2.40560788002739,1.75008283772576,0.385062443250079,4.54493256458451,5.495284462566e-06,8.36114761616867e-05,"chr1A",NA,54458948,54459154,"+","stress_up"
"TraesCS1A02G073300",74.1052181206453,1.17440972121532,0.117001363129915,10.037572980336,1.04206518335593e-23,1.04781919545533e-20,"chr1A",NA,57211935,57212757,"-","stress_up"
"TraesCS1A02G076700",32.4139758413537,6.03446737026281,0.692632215019658,8.71236890142561,2.9758938185025e-18,8.2259158972718e-16,"chr1A",NA,59509235,59510257,"-","stress_up"
"TraesCS1A02G082500",21.4882030656466,1.16526374234599,0.367149600273734,3.17381182351065,0.00150451197347333,0.00962246914007679,"chr1A",NA,65759464,65759553,"-","stress_up"
"TraesCS1A02G084600",23.8379928413489,1.40734512297562,0.232262343658172,6.05929097592703,1.36722868987081e-09,5.38363755572794e-08,"chr1A",NA,70906359,70906661,"-","stress_up"
"TraesCS1A02G084800",18.0947367553117,1.15975410105117,0.379415921280321,3.05668274841402,0.00223801009325512,0.0133112197411173,"chr1A",NA,71059897,71060199,"-","stress_up"
"TraesCS1A02G093000",18.1111167241213,1.26032635104823,0.236388527857909,5.33158847626396,9.73573668348533e-08,2.39445284238531e-06,"chr1A",NA,85823147,85823737,"+","stress_up"
"TraesCS1A02G107500",1.22459036605371,1.64028426668267,0.575676206413177,2.8493174607696,0.00438131390576735,0.0230200636195414,"chr1A",NA,105886198,105886989,"-","stress_up"
"TraesCS1A02G113600",7.97542966794691,1.02108649906439,0.322409404967191,3.16704935815472,0.00153994178606284,0.00981378718277079,"chr1A",NA,117193670,117193881,"-","stress_up"
"TraesCS1A02G115300",35.9044028342786,1.10443077170142,0.212432424639147,5.19897456133398,2.00390945324023e-07,4.5510062774226e-06,"chr1A",NA,119718295,119718402,"-","stress_up"
"TraesCS1A02G119000",5.47665278970062,1.46384838588514,0.440757161074966,3.32121293801546,0.000896271282437584,0.00631247567219592,"chr1A",NA,128634284,128634541,"+","stress_up"
"TraesCS1A02G125900",101.457228346806,1.23797487249024,0.144184154063953,8.586067453301,8.99968417273163e-18,2.19090206171331e-15,"chr1A",NA,150860632,150861162,"+","stress_up"
