"Description","Level","ModuleColor","Count","pvalue","geneID"
"Nucleotide metabolism","level1","antiquewhite4",92,2.27504422226625e-08,"TraesCS1A02G059200/TraesCS1A02G152900/TraesCS1A02G217200/TraesCS1A02G269000/TraesCS1A02G269300/TraesCS1A02G281700/TraesCS1A02G288300/TraesCS1A02G288900/TraesCS1A02G299100/TraesCS1A02G360400/TraesCS1A02G444300/TraesCS1B02G140200/TraesCS1B02G266800/TraesCS1B02G290800/TraesCS1B02G297700/TraesCS1D02G060600/TraesCS1D02G149900/TraesCS1D02G219000/TraesCS1D02G254000/TraesCS1D02G269400/TraesCS1D02G287300/TraesCS1D02G287900/TraesCS1D02G419400/TraesCS2A02G127500/TraesCS2A02G207500/TraesCS2A02G548300/TraesCS2A02G555100/TraesCS2B02G149500/TraesCS2B02G259600/TraesCS2B02G303300/TraesCS2B02G579200/TraesCS2D02G129900/TraesCS2D02G152000/TraesCS2D02G559400/TraesCS2D02G565300/TraesCS3A02G249300/TraesCS3A02G312300/TraesCS3A02G383500/TraesCS3A02G459600/TraesCS3B02G159900/TraesCS3B02G416300/TraesCS3B02G499300/TraesCS3B02G547500/TraesCS3B02G547900/TraesCS3D02G231000/TraesCS3D02G376600/TraesCS4A02G124000/TraesCS4A02G276300/TraesCS4A02G358800/TraesCS4A02G364400/TraesCS4A02G413900/TraesCS4B02G038800/TraesCS4B02G180400/TraesCS4B02G363700/TraesCS4D02G179000/TraesCS4D02G181900/TraesCS4D02G311700/TraesCS4D02G357100/TraesCS5A02G015500/TraesCS5A02G057700/TraesCS5A02G092400/TraesCS5A02G247400/TraesCS5A02G284600/TraesCS5A02G416300/TraesCS5A02G496900/TraesCS5A02G547700/TraesCS5B02G013800/TraesCS5B02G284500/TraesCS5B02G413100/TraesCS5B02G509100/TraesCS5B02G513200/TraesCS5D02G021400/TraesCS5D02G381400/TraesCS5D02G424000/TraesCS5D02G509100/TraesCS5D02G513700/TraesCS6A02G105900/TraesCS6A02G230100/TraesCS6A02G299200/TraesCS6A02G373000/TraesCS6B02G251600/TraesCS6D02G054300/TraesCS6D02G094400/TraesCS6D02G204800/TraesCS7A02G322100/TraesCS7B02G004400/TraesCS7B02G157000/TraesCS7B02G178800/TraesCS7B02G216500/TraesCS7B02G441300/TraesCS7D02G241400/TraesCS7D02G280900"
"DNA damage response","level1","antiquewhite4",68,0.00659632377121911,"TraesCS1A02G182000/TraesCS1A02G445000/TraesCS1B02G377800/TraesCS1B02G382000/TraesCS1B02G424800/TraesCS1B02G473400/TraesCS1D02G089500/TraesCS1D02G185100/TraesCS1D02G324400/TraesCS1D02G404500/TraesCS1D02G445700/TraesCS1D02G453100/TraesCS2A02G218900/TraesCS2A02G251400/TraesCS2A02G289600/TraesCS2A02G364200/TraesCS2B02G137400/TraesCS2B02G244300/TraesCS2B02G263500/TraesCS2B02G372300/TraesCS2D02G362100/TraesCS2D02G531600/TraesCS3A02G081900/TraesCS3A02G124100/TraesCS3A02G295900/TraesCS3A02G330200/TraesCS3A02G371000/TraesCS3A02G467100/TraesCS3B02G097000/TraesCS3B02G312900/TraesCS3B02G360300/TraesCS3D02G323700/TraesCS3D02G471400/TraesCS4A02G071900/TraesCS4A02G227500/TraesCS4A02G232700/TraesCS4A02G388300/TraesCS4D02G085900/TraesCS4D02G256900/TraesCS5A02G051500/TraesCS5A02G105900/TraesCS5A02G141300/TraesCS5A02G544900/TraesCS5B02G111000/TraesCS5B02G513500/TraesCS5B02G559300/TraesCS5D02G123300/TraesCS5D02G359700/TraesCS5D02G514000/TraesCS6A02G166500/TraesCS6A02G322600/TraesCS6B02G194000/TraesCS6D02G077800/TraesCS6D02G167100/TraesCS7A02G068700/TraesCS7A02G154800/TraesCS7B02G058900/TraesCS7B02G098700/TraesCS7B02G121500/TraesCS7B02G164500/TraesCS7B02G245900/TraesCS7D02G063600/TraesCS7D02G097800/TraesCS7D02G155000/TraesCS7D02G216500/TraesCS7D02G267200/TraesCS7D02G396200/TraesCS7D02G426800"
"Polyamine metabolism","level1","bisque4",3,0.0120306335126404,"TraesCS4A02G419400/TraesCS6B02G249000/TraesCS7D02G265900"
"Plant reproduction","level1","coral4",4,0.0281335485257975,"TraesCS5B02G292800/TraesCS6A02G071200/TraesCS6D02G154800/TraesCS7A02G122000"
"DNA damage response","level1","cornflowerblue",3,0.00804366358324223,"TraesCS2A02G022000/TraesCS3D02G265000/TraesCS4D02G333700"
"Nucleotide metabolism","level1","darkred",53,1.58707060102983e-05,"TraesCS1A02G183800/TraesCS1A02G254600/TraesCS1A02G427100/TraesCS1B02G205300/TraesCS1B02G308900/TraesCS1B02G376900/TraesCS1B02G396300/TraesCS1B02G462000/TraesCS1D02G159100/TraesCS1D02G192900/TraesCS1D02G226400/TraesCS1D02G269100/TraesCS1D02G364800/TraesCS1D02G425100/TraesCS1D02G436900/TraesCS2A02G087000/TraesCS2A02G358100/TraesCS2A02G518600/TraesCS2B02G101700/TraesCS2B02G377500/TraesCS2D02G084300/TraesCS2D02G240900/TraesCS2D02G356900/TraesCS3A02G044400/TraesCS3A02G236700/TraesCS3A02G334000/TraesCS3A02G376400/TraesCS3B02G252000/TraesCS3B02G278200/TraesCS3B02G365000/TraesCS3B02G408900/TraesCS3B02G415900/TraesCS3D02G209100/TraesCS3D02G249300/TraesCS3D02G369200/TraesCS4D02G017900/TraesCS4D02G034800/TraesCS4D02G035700/TraesCS4D02G321500/TraesCS5A02G059600/TraesCS5A02G371900/TraesCS5B02G066900/TraesCS5B02G154400/TraesCS5B02G283800/TraesCS5D02G071100/TraesCS5D02G078700/TraesCS5D02G292000/TraesCS6D02G078500/TraesCS6D02G357100/TraesCS7A02G278600/TraesCS7B02G087200/TraesCS7B02G223000/TraesCS7D02G207800"
"DNA damage response","level1","darkseagreen",24,5.93700695914151e-05,"TraesCS1A02G058500/TraesCS1A02G135100/TraesCS1A02G328000/TraesCS1B02G075900/TraesCS2A02G587100/TraesCS2B02G163200/TraesCS2B02G372400/TraesCS3A02G261300/TraesCS3D02G374700/TraesCS4A02G247000/TraesCS4A02G359000/TraesCS4B02G154600/TraesCS4B02G227800/TraesCS4B02G257000/TraesCS4B02G378700/TraesCS4D02G096000/TraesCS4D02G165800/TraesCS5B02G139600/TraesCS6B02G112700/TraesCS6D02G190900/TraesCS7A02G088500/TraesCS7A02G543400/TraesCS7B02G302500/TraesCS7D02G063400"
"Nucleotide metabolism","level1","darkseagreen",16,0.0474324606957218,"TraesCS1B02G178900/TraesCS2D02G214500/TraesCS4B02G037400/TraesCS4B02G102200/TraesCS4B02G173300/TraesCS4B02G199200/TraesCS4B02G290200/TraesCS4B02G297900/TraesCS4B02G314600/TraesCS4B02G324400/TraesCS6B02G328700/TraesCS6D02G278900/TraesCS7A02G259200/TraesCS7B02G176500/TraesCS7D02G100000/TraesCS7D02G260200"
"DNA damage response","level1","firebrick2",8,0.0108422524073404,"TraesCS1A02G027200/TraesCS1A02G172100/TraesCS1A02G323500/TraesCS1B02G336400/TraesCS1D02G026400/TraesCS2A02G246800/TraesCS4A02G234800/TraesCS5B02G327700"
"DNA damage response","level1","green3",6,0.0325170250716812,"TraesCS1B02G392500/TraesCS1D02G331500/TraesCS2D02G012000/TraesCS2D02G370300/TraesCS3A02G294700/TraesCS7A02G302900"
