"seqname","source","feature","start","end","score","strand","frame","attribute","gene_id","description","go_term"
"chr1D","IWGSC_v1.1_201706","gene",72507,77965,".","-",".","ID=TraesCS1D02G000100;name=BST_chr1D_nlr_131;manually_curated=yes;derived_from=TraesCS1D01G000100,BST_chr1D_nlr_131;curating_team=IWGSC_steuernb;last_modification=2017-03-02T14:54:41;Name=TraesCS1D02G000100","TraesCS1D02G000100","","defense response; ADP binding"
"chr1D","IWGSC_v1.1_201706","gene",84681,85607,".","+",".","ID=TraesCS1D02G000200;manually_curated=yes;derived_from=TraesCS1D01G000200,chr1D.gene1;curating_team=IWGSC_appelsr;Note=TRIAE_CS42_1DS_TGACv1_080539_AA0249800.1%2Cceliac disease associated;Name=TraesCS1D02G000200","TraesCS1D02G000200","",""
"chr1D","IWGSC_v1.1_201706","gene",99355,100422,".","+",".","ID=TraesCS1D02G000300;manually_curated=yes;derived_from=TraesCS1D01G000300,chr1D.gene2;curating_team=IWGSC_appelsr;Note=TRIAE_CS42_1DS_TGACv1_080539_AA0249810.1%2Cceliac disease associated;Name=TraesCS1D02G000300","TraesCS1D02G000300","",""
"chr1D","IWGSC_v1.1_201706","gene",111463,112058,"47","-",".","ID=TraesCS1D02G000400;previous_id=TraesCS1D01G000400;primconf=HC;Name=TraesCS1D02G000400","TraesCS1D02G000400","","GO_0016021; membrane"
"chr1D","IWGSC_v1.1_201706","gene",121980,122198,"40","-",".","ID=TraesCS1D02G000500;previous_id=TraesCS1D01G000500;primconf=HC;Name=TraesCS1D02G000500","TraesCS1D02G000500","",""
"chr1D","IWGSC_v1.1_201706","gene",133936,134199,".","+",".","ID=TraesCS1D02G000524;manually_curated=yes;derived_from=chr1D.gene3;curating_team=IWGSC_appelsr;Note=pseudo%2COmega fast gliadin%2Cceliac disease associated;Name=TraesCS1D02G000524","TraesCS1D02G000524","",""
"chr1D","IWGSC_v1.1_201706","gene",139831,141447,".","+",".","ID=TraesCS1D02G000531;manually_curated=yes;derived_from=chr1D.gene4;curating_team=IWGSC_appelsr;Note=not complete%2COmega fast gliadin?%2Cceliac disease associated;Name=TraesCS1D02G000531","TraesCS1D02G000531","",""
"chr1D","IWGSC_v1.1_201706","gene",171830,172854,".","+",".","ID=TraesCS1D02G000567;manually_curated=yes;derived_from=chr1D.gene5;curating_team=IWGSC_appelsr;Note=not complete%2COmega fast gliadin?%2Cceliac disease associated;Name=TraesCS1D02G000567","TraesCS1D02G000567","",""
"chr1D","IWGSC_v1.1_201706","gene",184195,185110,".","+",".","ID=TraesCS1D02G000582;manually_curated=yes;derived_from=chr1D.gene6;curating_team=IWGSC_appelsr;Note=not complete%2COmega fast gliadin?%2Cceliac disease associated;Name=TraesCS1D02G000582","TraesCS1D02G000582","",""
"chr1D","IWGSC_v1.1_201706","gene",208450,208668,"46","-",".","ID=TraesCS1D02G000600;previous_id=TraesCS1D01G000600;primconf=HC;Name=TraesCS1D02G000600","TraesCS1D02G000600","",""
"chr1D","IWGSC_v1.1_201706","gene",209608,210213,".","-",".","ID=TraesCS1D02G000700;manually_curated=yes;derived_from=TraesCS1D01G000700,chr1D.gene7;curating_team=IWGSC_appelsr;Note=Modified_TRIAE_CS42_1DS_TGACv1_081574_AA0261570.1%2Cceliac disease associated%2Cgliadin-like avenin;Name=TraesCS1D02G000700","TraesCS1D02G000700","Gliadin/avenin-like seed protein [Source:UniProtKB/TrEMBL;Acc:D2KFG9]","nutrient reservoir activity"
"chr1D","IWGSC_v1.1_201706","gene",216466,219484,"56","-",".","ID=TraesCS1D02G000800;previous_id=TraesCS1D01G000800;primconf=HC;Name=TraesCS1D02G000800","TraesCS1D02G000800","Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:Q6XPZ6]","chloroplast thylakoid membrane; peptidyl-prolyl cis-trans isomerase activity; protein folding; NAD(P)H dehydrogenase complex assembly; chloroplast stromal thylakoid; protein histidine kinase binding; thylakoid lumen; isomerase activity; cytoplasm; cyclosporin A binding; protein peptidyl-prolyl isomerization"
"chr1D","IWGSC_v1.1_201706","gene",216924,217245,"36","+",".","ID=TraesCS1D02G000900;previous_id=TraesCS1D01G000900;primconf=HC;Name=TraesCS1D02G000900","TraesCS1D02G000900","",""
"chr1D","IWGSC_v1.1_201706","gene",232648,233202,".","-",".","ID=TraesCS1D02G000906;manually_curated=yes;derived_from=chr1D.gene8;curating_team=IWGSC_appelsr;Note=TRIAE_Novel_21%2Cceliac disease associated%2Cgliadin-like avenin;Name=TraesCS1D02G000906","TraesCS1D02G000906","",""
"chr1D","IWGSC_v1.1_201706","gene",250463,251359,".","-",".","ID=TraesCS1D02G001000;manually_curated=yes;derived_from=TraesCS1D01G001000,chr1D.gene9;curating_team=IWGSC_appelsr;Note=TRIAE_CS42_1DS_TGACv1_080625_AA0251270.1%2Cceliac disease associated;Name=TraesCS1D02G001000","TraesCS1D02G001000","Gamma-gliadin 12 [Source:UniProtKB/TrEMBL;Acc:Q94G92]","nutrient reservoir activity"
"chr1D","IWGSC_v1.1_201706","gene",259657,260544,".","-",".","ID=TraesCS1D02G001100;manually_curated=yes;derived_from=TraesCS1D01G001100,chr1D.gene10;curating_team=IWGSC_appelsr;Note=TRIAE_CS42_1DS_TGACv1_080625_AA0251260.1%2Cceliac disease associated;Name=TraesCS1D02G001100","TraesCS1D02G001100","Gamma-gliadin 11 [Source:UniProtKB/TrEMBL;Acc:A1EHE7]","nutrient reservoir activity"
"chr1D","IWGSC_v1.1_201706","gene",321910,322893,".","-",".","ID=TraesCS1D02G001200;manually_curated=yes;derived_from=TraesCS1D01G001200,chr1D.gene11;curating_team=IWGSC_appelsr;Note=TRIAE_CS42_1DS_TGACv1_080991_AA0256470.1%2Cceliac disease associated;Name=TraesCS1D02G001200","TraesCS1D02G001200","Gamma-gliadin 2 [Source:UniProtKB/TrEMBL;Acc:M9TGF7]","nutrient reservoir activity"
"chr1D","IWGSC_v1.1_201706","gene",339837,340811,".","-",".","ID=TraesCS1D02G001300;manually_curated=yes;derived_from=TraesCS1D01G001300,chr1D.gene12;curating_team=IWGSC_appelsr;Note=TRIAE_CS42_1DS_TGACv1_080991_AA0256460.1%2Cceliac disease associated%2CDelta gliadin;Name=TraesCS1D02G001300","TraesCS1D02G001300","Delta gliadin-D1 [Source:UniProtKB/TrEMBL;Acc:A0A2U8JD37]","nutrient reservoir activity"
"chr1D","IWGSC_v1.1_201706","gene",380936,382175,".","-",".","ID=TraesCS1D02G001400;manually_curated=yes;derived_from=TraesCS1D01G001400,chr1D.gene13;curating_team=IWGSC_appelsr;Note=not complete%2CTRIAE_CS42_1DS_TGACv1_080771_AA0253490.1%2Cceliac disease associated;Name=TraesCS1D02G001400","TraesCS1D02G001400","",""
"chr1D","IWGSC_v1.1_201706","gene",392359,395787,"48","+",".","ID=TraesCS1D02G001500;previous_id=TraesCS1D01G001500;primconf=HC;Name=TraesCS1D02G001500","TraesCS1D02G001500","","GO_0016021; ATP binding; protein kinase activity; protein phosphorylation; protein binding"
"chr1D","IWGSC_v1.1_201706","gene",415385,418153,"58","+",".","ID=TraesCS1D02G001600;previous_id=TraesCS1D01G001600;primconf=HC;Name=TraesCS1D02G001600","TraesCS1D02G001600","","membrane; FAD binding; D-arabinono-1,4-lactone oxidase activity; flavin adenine dinucleotide binding"
"chr1D","IWGSC_v1.1_201706","gene",447129,462647,"43","+",".","ID=TraesCS1D02G001700;previous_id=TraesCS1D01G001700;primconf=HC;Name=TraesCS1D02G001700","TraesCS1D02G001700","","ATP binding; protein kinase activity; protein phosphorylation; protein binding"
"chr1D","IWGSC_v1.1_201706","gene",458727,460352,"33","+",".","ID=TraesCS1D02G001800;previous_id=TraesCS1D01G001800;primconf=HC;Name=TraesCS1D02G001800","TraesCS1D02G001800","","protein binding"
"chr1D","IWGSC_v1.1_201706","gene",463242,464905,"47","-",".","ID=TraesCS1D02G001900;previous_id=TraesCS1D01G001900;primconf=HC;Name=TraesCS1D02G001900","TraesCS1D02G001900","","vacuolar transport"
"chr1D","IWGSC_v1.1_201706","gene",469277,472378,"43","+",".","ID=TraesCS1D02G002000;previous_id=TraesCS1D01G002000;primconf=HC;Name=TraesCS1D02G002000","TraesCS1D02G002000","",""
"chr1D","IWGSC_v1.1_201706","gene",492093,493185,".","-",".","ID=TraesCS1D02G002063;manually_curated=yes;derived_from=chr1D.gene14;curating_team=IWGSC_appelsr;Note=not complete%2Cceliac disease associated;Name=TraesCS1D02G002063","TraesCS1D02G002063","",""
"chr1D","IWGSC_v1.1_201706","gene",509821,510750,"37","+",".","ID=TraesCS1D02G002100;previous_id=TraesCS1D01G002100;primconf=HC;Name=TraesCS1D02G002100","TraesCS1D02G002100","","nucleic acid binding"
"chr1D","IWGSC_v1.1_201706","gene",512104,515096,"49","-",".","ID=TraesCS1D02G002200;previous_id=TraesCS1D01G002200;primconf=HC;Name=TraesCS1D02G002200","TraesCS1D02G002200","",""
"chr1D","IWGSC_v1.1_201706","gene",548169,554637,"60","-",".","ID=TraesCS1D02G002300;previous_id=TraesCS1D01G002300;primconf=HC;Name=TraesCS1D02G002300","TraesCS1D02G002300","","protein heterodimerization activity; DNA-templated transcription initiation; transcription initiation at RNA polymerase II promoter; transcription factor TFIID complex; SAGA complex; SLIK (SAGA-like) complex; regulation of DNA-binding transcription factor activity; RNA polymerase II general transcription initiation factor activity"
"chr1D","IWGSC_v1.1_201706","gene",568769,574727,"49","+",".","ID=TraesCS1D02G002400;previous_id=TraesCS1D01G002400;primconf=HC;Name=TraesCS1D02G002400","TraesCS1D02G002400","",""
"chr1D","IWGSC_v1.1_201706","gene",577240,584788,"60","-",".","ID=TraesCS1D02G002500;previous_id=TraesCS1D01G002500;primconf=HC;Name=TraesCS1D02G002500","TraesCS1D02G002500","","nucleic acid binding; RNA binding"
"chr1D","IWGSC_v1.1_201706","gene",613482,616505,"62","+",".","ID=TraesCS1D02G002600;previous_id=TraesCS1D01G002600;primconf=HC;Name=TraesCS1D02G002600","TraesCS1D02G002600","","vacuolar transport"
"chr1D","IWGSC_v1.1_201706","gene",617337,621178,"63","-",".","ID=TraesCS1D02G002700;previous_id=TraesCS1D01G002700;primconf=HC;Name=TraesCS1D02G002700","TraesCS1D02G002700","","GO_0016021; ATP binding; protein kinase activity; protein phosphorylation; protein binding"
"chr1D","IWGSC_v1.1_201706","gene",625154,628216,"50","-",".","ID=TraesCS1D02G002800;previous_id=TraesCS1D01G002800;primconf=HC;Name=TraesCS1D02G002800","TraesCS1D02G002800","",""
"chr1D","IWGSC_v1.1_201706","gene",647396,651241,"50","+",".","ID=TraesCS1D02G002900;previous_id=TraesCS1D01G002900;primconf=HC;Name=TraesCS1D02G002900","TraesCS1D02G002900","","ATP binding; protein kinase activity; protein phosphorylation; protein binding"
"chr1D","IWGSC_v1.1_201706","gene",694529,697208,"33","-",".","ID=TraesCS1D02G003000;previous_id=TraesCS1D01G003000;primconf=HC;Name=TraesCS1D02G003000","TraesCS1D02G003000","","ATP binding; protein kinase activity; protein phosphorylation; protein binding"
"chr1D","IWGSC_v1.1_201706","gene",829734,830595,"31","+",".","ID=TraesCS1D02G003100;previous_id=TraesCS1D01G003100;primconf=HC;Name=TraesCS1D02G003100","TraesCS1D02G003100","",""
"chr1D","IWGSC_v1.1_201706","gene",893853,897135,"39","-",".","ID=TraesCS1D02G003200;previous_id=TraesCS1D01G003200;primconf=HC;Name=TraesCS1D02G003200","TraesCS1D02G003200","",""
"chr1D","IWGSC_v1.1_201706","gene",906800,907265,"54","+",".","ID=TraesCS1D02G003300;previous_id=TraesCS1D01G003300;primconf=HC;Name=TraesCS1D02G003300","TraesCS1D02G003300","","response to sucrose; cellular response to nitrogen levels; cytoplasm; protein binding"
"chr1D","IWGSC_v1.1_201706","gene",1025499,1026462,"47","+",".","ID=TraesCS1D02G003400;previous_id=TraesCS1D01G003400;primconf=HC;Name=TraesCS1D02G003400","TraesCS1D02G003400","Fatty acyl-CoA reductase [Source:UniProtKB/TrEMBL;Acc:A0A341PEG0]","fatty-acyl-CoA reductase (alcohol-forming) activity"
"chr1D","IWGSC_v1.1_201706","gene",1248500,1257346,"52","+",".","ID=TraesCS1D02G003500;previous_id=TraesCS1D01G003500;primconf=HC;Name=TraesCS1D02G003500","TraesCS1D02G003500","Cytokinin riboside 5'-monophosphate phosphoribohydrolase [Source:UniProtKB/TrEMBL;Acc:A0A341PCP1]","hydrolase activity; cytokinin biosynthetic process"
"chr1D","IWGSC_v1.1_201706","gene",1836498,1836833,"34","-",".","ID=TraesCS1D02G003600;previous_id=TraesCS1D01G003600;primconf=HC;Name=TraesCS1D02G003600","TraesCS1D02G003600","",""
"chr1D","IWGSC_v1.1_201706","gene",2066324,2067459,"52","+",".","ID=TraesCS1D02G003700;previous_id=TraesCS1D01G003700;primconf=HC;Name=TraesCS1D02G003700","TraesCS1D02G003700","","structural constituent of ribosome; translation; ribosome"
"chr1D","IWGSC_v1.1_201706","gene",2074711,2076549,"50","+",".","ID=TraesCS1D02G003800;previous_id=TraesCS1D01G003800;primconf=HC;Name=TraesCS1D02G003800","TraesCS1D02G003800","",""
"chr1D","IWGSC_v1.1_201706","gene",2076917,2080837,"55","-",".","ID=TraesCS1D02G003900;previous_id=TraesCS1D01G003900;primconf=HC;Name=TraesCS1D02G003900","TraesCS1D02G003900","","peroxisomal membrane; protein import into peroxisome matrix, docking; protein binding"
"chr1D","IWGSC_v1.1_201706","gene",2081281,2084780,"63","-",".","ID=TraesCS1D02G004000;previous_id=TraesCS1D01G004000;primconf=HC;Name=TraesCS1D02G004000","TraesCS1D02G004000","E3 ubiquitin-protein ligase SIS3 [Source:Projected from Arabidopsis thaliana (AT3G47990) UniProtKB/Swiss-Prot;Acc:Q8GYT9]","GO_0016021; ubiquitin-protein transferase activity; sugar mediated signaling pathway"
"chr1D","IWGSC_v1.1_201706","gene",2087759,2094728,"61","+",".","ID=TraesCS1D02G004100;previous_id=TraesCS1D01G004100;primconf=HC;Name=TraesCS1D02G004100","TraesCS1D02G004100","",""
"chr1D","IWGSC_v1.1_201706","gene",2101598,2103387,"54","+",".","ID=TraesCS1D02G004200;previous_id=TraesCS1D01G004200;primconf=HC;Name=TraesCS1D02G004200","TraesCS1D02G004200","",""
"chr1D","IWGSC_v1.1_201706","gene",2108471,2112601,"60","+",".","ID=TraesCS1D02G004300;previous_id=TraesCS1D01G004300;primconf=HC;Name=TraesCS1D02G004300","TraesCS1D02G004300","","GO_0016021; ATP binding; protein kinase activity; protein phosphorylation"
"chr1D","IWGSC_v1.1_201706","gene",2113015,2116037,"61","-",".","ID=TraesCS1D02G004400;previous_id=TraesCS1D01G004400;primconf=HC;Name=TraesCS1D02G004400","TraesCS1D02G004400","",""
"chr1D","IWGSC_v1.1_201706","gene",2119146,2122106,"60","-",".","ID=TraesCS1D02G004500;previous_id=TraesCS1D01G004500;primconf=HC;Name=TraesCS1D02G004500","TraesCS1D02G004500","","GO_0016021; heme binding; monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"chr1D","IWGSC_v1.1_201706","gene",2124693,2127355,"63","-",".","ID=TraesCS1D02G004600;previous_id=TraesCS1D01G004600;primconf=HC;Name=TraesCS1D02G004600","TraesCS1D02G004600","","heme binding; monooxygenase activity; iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
"chr1D","IWGSC_v1.1_201706","gene",2139321,2145297,"61","-",".","ID=TraesCS1D02G004700;previous_id=TraesCS1D01G004700;primconf=HC;Name=TraesCS1D02G004700","TraesCS1D02G004700","Phospholipid-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A1D5T1I0]","GO_0016021; ATP binding; membrane; ATP hydrolysis activity; nucleotide binding; magnesium ion binding; transporter activity; GO_0004012; phospholipid transport; ATPase-coupled intramembrane lipid transporter activity"
"chr1D","IWGSC_v1.1_201706","gene",2164355,2167632,"56","+",".","ID=TraesCS1D02G004800;previous_id=TraesCS1D01G004800;primconf=HC;Name=TraesCS1D02G004800","TraesCS1D02G004800","","nucleus; DNA binding; regulation of DNA-templated transcription"
"chr1D","IWGSC_v1.1_201706","gene",2218698,2230622,"53","-",".","ID=TraesCS1D02G004900;previous_id=TraesCS1D01G004900;primconf=HC;Name=TraesCS1D02G004900","TraesCS1D02G004900","","nucleus; regulation of DNA-templated transcription; transcription corepressor activity"
"chr1D","IWGSC_v1.1_201706","gene",2436388,2448831,".","-",".","ID=TraesCS1D02G005000;curating_team=IWGSC_Rothamsted;manually_curated=yes;Name=TraesCS1D02G005000;derived_from=TraesCS1D01G005000,TaWAK34_1D-gene","TraesCS1D02G005000","","GO_0016021; ATP binding; protein kinase activity; calcium ion binding; polysaccharide binding; cell surface receptor signaling pathway; protein phosphorylation"
"chr1D","IWGSC_v1.1_201706","gene",2458987,2461044,"49","-",".","ID=TraesCS1D02G005100;previous_id=TraesCS1D01G005100;primconf=HC;Name=TraesCS1D02G005100","TraesCS1D02G005100","","GO_0016021; ATP binding; protein kinase activity; protein serine/threonine kinase activity; cell surface receptor signaling pathway; protein phosphorylation"
"chr1D","IWGSC_v1.1_201706","gene",2468451,2472420,"63","-",".","ID=TraesCS1D02G005200;previous_id=TraesCS1D01G005200;primconf=HC;Name=TraesCS1D02G005200","TraesCS1D02G005200","","GO_0016021; cellulose biosynthetic process; response to abscisic acid"
"chr1D","IWGSC_v1.1_201706","gene",2482275,2489362,".","+",".","ID=TraesCS1D02G005300;name=BST_chr1D_nlr_1;manually_curated=yes;derived_from=TraesCS1D01G005300,BST_chr1D_nlr_1;curating_team=IWGSC_appelsr;last_modification=2017-01-25T16:31:02;Name=TraesCS1D02G005300","TraesCS1D02G005300","","defense response; ADP binding"
"chr1D","IWGSC_v1.1_201706","gene",2495367,2499785,".","-",".","ID=TraesCS1D02G005400;name=BST_chr1D_nlr_130;manually_curated=yes;derived_from=TraesCS1D01G005400,BST_chr1D_nlr_130;curating_team=IWGSC_appelsr;last_modification=2017-03-02T14:05:10;Name=TraesCS1D02G005400","TraesCS1D02G005400","","defense response; ADP binding"
"chr1D","IWGSC_v1.1_201706","gene",2505660,2509566,"46","+",".","ID=TraesCS1D02G005500;previous_id=TraesCS1D01G005500;primconf=HC;Name=TraesCS1D02G005500","TraesCS1D02G005500","","hydrolase activity, acting on ester bonds"
"chr1D","IWGSC_v1.1_201706","gene",2516670,2517788,"35","-",".","ID=TraesCS1D02G005600;previous_id=TraesCS1D01G005600;primconf=HC;Name=TraesCS1D02G005600","TraesCS1D02G005600","",""
"chr1D","IWGSC_v1.1_201706","gene",2586760,2589065,"59","-",".","ID=TraesCS1D02G005700;previous_id=TraesCS1D01G005700;primconf=HC;Name=TraesCS1D02G005700","TraesCS1D02G005700","",""
"chr1D","IWGSC_v1.1_201706","gene",2671267,2672425,"57","+",".","ID=TraesCS1D02G005800;previous_id=TraesCS1D01G005800;primconf=HC;Name=TraesCS1D02G005800","TraesCS1D02G005800","","mitochondrion; negative regulation of ATP-dependent activity; ATPase inhibitor activity"
