"seqname","source","feature","start","end","score","strand","frame","attribute","gene_id","description","go_term","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND","Set","module_label","module_color"
"chr1D","IWGSC_v1.1_201706","gene",392359,395787,"48","+",".","ID=TraesCS1D02G001500;previous_id=TraesCS1D01G001500;primconf=HC;Name=TraesCS1D02G001500","TraesCS1D02G001500","","GO_0016021; ATP binding; protein kinase activity; protein phosphorylation; protein binding",54.6665201874656,1.31382346976024,0.406456435929915,3.23238446638051,0.00122761766029749,0.0231922156908122,"chr1D",NA,392359,395251,"+","Hcid_up","ME51","brown"
"chr1D","IWGSC_v1.1_201706","gene",447129,462647,"43","+",".","ID=TraesCS1D02G001700;previous_id=TraesCS1D01G001700;primconf=HC;Name=TraesCS1D02G001700","TraesCS1D02G001700","","ATP binding; protein kinase activity; protein phosphorylation; protein binding",96.9465080088087,1.9924010354912,0.432516905062565,4.60652754186103,4.09448851815228e-06,0.000339429437692547,"chr1D",NA,447129,448292,"+","Hcid_up","ME49","brown"
"chr1D","IWGSC_v1.1_201706","gene",458727,460352,"33","+",".","ID=TraesCS1D02G001800;previous_id=TraesCS1D01G001800;primconf=HC;Name=TraesCS1D02G001800","TraesCS1D02G001800","","protein binding",47.6198607327049,2.0866754024377,0.509038611307415,4.09924779002183,4.14495081185071e-05,0.00204183186282976,"chr1D",NA,458727,459978,"+","Hcid_up","ME69","brown"
"chr1D","IWGSC_v1.1_201706","gene",5243664,5245264,"60","+",".","ID=TraesCS1D02G009500;previous_id=TraesCS1D01G009500;primconf=HC;Name=TraesCS1D02G009500","TraesCS1D02G009500","","",4.09714778433537,2.88772336866612,0.906324310595277,3.18619211126474,0.00144158836831335,0.0258347600737769,"chr1D",NA,5243710,5245104,"+","Hcid_up","ME68","deeppink"
"chr1D","IWGSC_v1.1_201706","gene",5454886,5457082,"39","+",".","ID=TraesCS1D02G010600;previous_id=TraesCS1D01G010600;primconf=HC;Name=TraesCS1D02G010600","TraesCS1D02G010600","","",6.75714914139205,1.44770095604804,0.438490311258052,3.30155745492873,0.000961496405010576,0.0195522342259513,"chr1D",NA,5454886,5454939,"+","Hcid_up","ME100","antiquewhite2"
"chr1D","IWGSC_v1.1_201706","gene",6864265,6866168,"46","+",".","ID=TraesCS1D02G013700;previous_id=TraesCS1D01G013700;primconf=HC;Name=TraesCS1D02G013700","TraesCS1D02G013700","","oxidoreductase activity; FMN binding",5.0093189595632,2.01633988631788,0.599108516118484,3.36556705850451,0.000763864974043312,0.0167451791506759,"chr1D",NA,6864344,6864402,"+","Hcid_up","ME111","brown"
"chr1D","IWGSC_v1.1_201706","gene",6898428,6901098,"54","+",".","ID=TraesCS1D02G013800;previous_id=TraesCS1D01G013800;primconf=HC;Name=TraesCS1D02G013800","TraesCS1D02G013800","Serine/threonine-protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1D5T2M5]","GO_0016021; ATP binding; protein kinase activity; protein serine/threonine kinase activity; recognition of pollen; protein phosphorylation",9.5986190042971,2.14096426014609,0.666759934962206,3.21099716387044,0.00132275240262417,0.0243574066537121,"chr1D",NA,6898456,6900987,"+","Hcid_up","ME15","brown"
"chr4B","IWGSC_v1.1_201706","gene",128024942,128026366,"52","-",".","ID=TraesCS4B02G113300;Name=TraesCS4B02G113300;previous_id=TraesCS4B01G113300;primconf=HC","TraesCS4B02G113300","","",5.56566941662382,-1.33290683761896,0.419157730594632,-3.17996482070854,0.00147292932482392,0.0262343628743643,"chr4B",NA,128024942,128026366,"-","Hcid_down","ME121","sienna3"
"chr4B","IWGSC_v1.1_201706","gene",132293366,132295380,"49","-",".","ID=TraesCS4B02G115500;Name=TraesCS4B02G115500;previous_id=TraesCS4B01G115500;primconf=HC","TraesCS4B02G115500","","protein binding",6.37539462406549,-1.20358937346729,0.381424009441102,-3.15551549896112,0.00160214753781969,0.0278062557967582,"chr4B",NA,132294119,132295243,"-","Hcid_down","ME76","darkred"
"chr4B","IWGSC_v1.1_201706","gene",134822636,134825806,"53","-",".","ID=TraesCS4B02G116800;Name=TraesCS4B02G116800;previous_id=TraesCS4B01G116800;primconf=HC","TraesCS4B02G116800","","negative regulation of DNA-templated transcription",4.69343334804971,-1.61288427100355,0.437805197771823,-3.68402266398892,0.000229581814586643,0.00732652683619419,"chr4B",NA,134824611,134825669,"-","Hcid_down","ME34","tan"
