"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","CHROM","CDSNAME","CDSSTART","CDSEND","CDSSTRAND","Sets"
"TraesCS1A02G000100",251526.006785535,1.72646858421301,0.527073889117464,3.27557221076502,0.00105448153136109,0.0208847594150034,"chr1A",NA,58508,58768,"-","up_regulated"
"TraesCS1A02G000800",21.5431244760537,3.08965623286007,0.771413400794129,4.00518869607325,6.19679940885136e-05,0.00277594375174977,"chr1A",NA,180175,180552,"-","up_regulated"
"TraesCS1A02G001100",79.7893674733782,2.70063946453331,0.647623637015073,4.17007550400829,3.04498739220474e-05,0.00160952875918574,"chr1A",NA,278951,279247,"-","up_regulated"
"TraesCS1A02G001200",55.0337369708754,1.62489132206166,0.499778221198658,3.25122474957903,0.00114908981308634,0.0221261998716803,"chr1A",NA,287697,287957,"+","up_regulated"
"TraesCS1A02G001500",6403.2052908907,1.88153619993511,0.564500943465912,3.33309664352887,0.000858851037896241,0.0181117676640172,"chr1A",NA,326099,326518,"+","up_regulated"
"TraesCS1A02G001700",4.6997641940336,1.91759351888453,0.605274684747816,3.16813765254941,0.00153418861173353,0.0269656601103773,"chr1A",NA,403455,403751,"+","up_regulated"
"TraesCS1A02G004200",25.536351538546,7.42628174657331,1.40944003743372,5.26895898323914,1.37199614506366e-07,1.7590762241214e-05,"chr1A",NA,2540893,2540958,"-","up_regulated"
"TraesCS1A02G005200",23.305566423453,1.01147513354517,0.25274429838291,4.00197013351723,6.28172295397318e-05,0.00280817243073277,"chr1A",NA,2982629,2985593,"+","up_regulated"
"TraesCS1A02G006300",22.4535818704449,2.3705975923549,0.505735382241944,4.68742681567177,2.7666158640673e-06,0.000244660811630257,"chr1A",NA,3500842,3503929,"-","up_regulated"
"TraesCS1A02G006800",24.8431626898451,2.41545369684835,0.509293169706702,4.74275690412144,2.10829207250023e-06,0.000194941935079758,"chr1A",NA,3654195,3657378,"-","up_regulated"
"TraesCS1A02G018500",60.4263146297869,1.24426396372886,0.361418487238179,3.44272362279263,0.000575887522589831,0.013916924456927,"chr1A",NA,9550985,9551748,"-","up_regulated"
"TraesCS1A02G025500",69.4427225613069,6.67057342401759,1.38198499554303,4.82680596788714,1.38740173856513e-06,0.000135831443213066,"chr1A",NA,12207845,12210598,"-","up_regulated"
"TraesCS1A02G026200",63.3980146205399,1.38246987300041,0.390995754753334,3.5357669647144,0.000406593189627785,0.0110058231604418,"chr1A",NA,12503897,12505126,"+","up_regulated"
"TraesCS1A02G026400",42.8046397360138,2.9541064491571,0.52381175687978,5.63963372405765,1.70412265730859e-08,2.66541208881688e-06,"chr1A",NA,12590019,12590845,"-","up_regulated"
"TraesCS1A02G030500",26.2990675486109,1.10986261169898,0.303300211688618,3.65928729663538,0.000252917669788595,0.00788136627267292,"chr1A",NA,14139742,14139901,"+","up_regulated"
"TraesCS1A02G034900",2.19644012835543,3.41542952880571,0.982628079321003,3.47581104253176,0.000509311000360919,0.012853568053432,"chr1A",NA,18085528,18086010,"-","up_regulated"
"TraesCS1A02G041000",3.93259983099193,1.44740409329848,0.49221300536887,2.9406051394635,0.00327571811404938,0.0442511681129959,"chr1A",NA,22561344,22561535,"+","up_regulated"
"TraesCS1A02G046600",63.268249595095,25.9590337993772,2.94505063644187,8.81446093936782,1.2026229566735e-18,5.03627458823722e-16,"chr1A",NA,28623296,28623370,"+","up_regulated"
"TraesCS1A02G047300",24.5182146765676,2.18098109600377,0.641323889207388,3.40074825327222,0.00067201685114276,0.0155012842244764,"chr1A",NA,29243311,29244216,"-","up_regulated"
"TraesCS1A02G056600",45.8511017843726,1.17808827633854,0.27583207881432,4.27103432422588,1.94568456027647e-05,0.00114464000125846,"chr1A",NA,36776373,36776384,"+","up_regulated"
"TraesCS1A02G064000",30.0395244083961,1.06656067961891,0.302987154228764,3.52015148079057,0.000431300398609516,0.0114595615529037,"chr1A",NA,45543122,45543810,"+","up_regulated"
"TraesCS1A02G065400",6.11907294099609,1.37200158836809,0.469457781595623,2.92252390343779,0.00347206969152123,0.0457515314000493,"chr1A",NA,47800404,47800893,"+","up_regulated"
"TraesCS1A02G076500",17.4365440141278,2.31155064908236,0.644671893989075,3.58562343206719,0.000336273903970886,0.00960296485118795,"chr1A",NA,59212458,59213525,"+","up_regulated"
"TraesCS1A02G076700",116.201296003232,4.61561828138749,0.834258662967023,5.53259856478103,3.15521032078712e-08,4.65465231641572e-06,"chr1A",NA,59509235,59510257,"-","up_regulated"
"TraesCS1A02G084800",26.3134690704823,2.03483573049265,0.503785059156378,4.03909503370369,5.36578232412399e-05,0.00249493503337312,"chr1A",NA,71059897,71060199,"-","up_regulated"
"TraesCS1A02G098800",129.227607756804,2.38289281125748,0.588002149548841,4.05252397986268,5.06680287346762e-05,0.00239364028032593,"chr1A",NA,95048529,95049419,"-","up_regulated"
"TraesCS1A02G099200",129.227607756804,2.38289281125748,0.588002149548841,4.05252397986268,5.06680287346762e-05,0.00239364028032593,"chr1A",NA,95528061,95528951,"+","up_regulated"
"TraesCS1A02G099900",24.9325908258389,1.31543654290401,0.441894073034521,2.97681418053608,0.00291260482861801,0.0409098058538335,"chr1A",NA,96438098,96439261,"+","up_regulated"
