component *(D1/PsbA),TraesCS5D02G008300
component *(D2/PsbD),TraesCS6D02G079500
cytochrome b559 heterodimer,TraesCS5A02G523400
cytochrome b559 heterodimer,TraesCS5D02G220600
cytochrome b559 heterodimer,TraesCS5D02G564200
cytochrome b559 heterodimer,TraesCS6A02G020700
cytochrome b559 heterodimer,TraesCS6A02G020800
cytochrome b559 heterodimer,TraesCS6B02G232900
cytochrome b559 heterodimer,TraesCS6B02G233100
cytochrome b559 heterodimer,TraesCS6D02G325800
cytochrome b559 heterodimer,TraesCS6D02G374500
cytochrome b559 heterodimer,TraesCS7A02G098400
cytochrome b559 heterodimer,TraesCS7A02G099600
cytochrome b559 heterodimer,TraesCS7A02G388000
cytochrome b559 heterodimer,TraesCS7B02G120000
cytochrome b559 heterodimer,TraesCS7B02G456700
cytochrome b559 heterodimer,TraesCS7B02G458600
cytochrome b559 heterodimer,TraesCS7B02G487200
cytochrome b559 heterodimer,TraesCS7D02G286100
cytochrome b559 heterodimer,TraesCS7D02G301700
cytochrome b559 heterodimer,TraesCS5A02G523300
cytochrome b559 heterodimer,TraesCS5D02G220700
cytochrome b559 heterodimer,TraesCS6D02G137500
cytochrome b559 heterodimer,TraesCS6D02G325700
component *(PsbI),TraesCS5A02G420700
component *(PsbI),TraesCS5B02G089100
component *(PsbI),TraesCS5D02G008000
component *(PsbI),TraesCS5D02G107100
component *(PsbI),TraesCS5D02G120000
component *(PsbI),TraesCS5D02G458200
component *(PsbI),TraesCS5D02G471500
component *(PsbI),TraesCS6D02G079600
component *(PsbI),TraesCS7A02G270400
component *(PsbI),TraesCS7B02G091600
component *(PsbI),TraesCS7D02G123900
scaffold component *(HCF244),TraesCS7A02G276000
scaffold component *(HCF244),TraesCS7B02G173700
scaffold component *(HCF244),TraesCS7D02G275900
component *(OHP1),TraesCS6A02G408400
component *(OHP1),TraesCS6B02G454500
component *(OHP1),TraesCS6D02G392300
component *(FtsH1/2/5/6/8),TraesCS7A02G547500
component *(FtsH1/2/5/6/8),TraesCS7B02G471600
component *(FtsH1/2/5/6/8),TraesCS7D02G534500
component *(FtsH1/2/5/6/8),TraesCS7A02G188300
component *(FtsH1/2/5/6/8),TraesCS7A02G471000
component *(FtsH1/2/5/6/8),TraesCS7B02G093400
